date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:46:02	36933/36933	---M--	200	added ('OK')	image/png	etag:%229045-562a9b2376988%22	http://html.iwthemes.com/sportscup/run/img/adds/sidebar.png	D:/Template%20Website/sportscup/html.iwthemes.com/sportscup/run/img/adds/sidebar.png	(from http://html.iwthemes.com/sportscup/run/)
08:46:03	18994/18994	---MCZ	200	added ('OK')	application/javascript	etag:W/%224a32-562a9aee3e742%22	http://html.iwthemes.com/sportscup/run/assets/js/popper.min.js	D:/Template%20Website/sportscup/html.iwthemes.com/sportscup/run/assets/js/popper.min.js	(from http://html.iwthemes.com/sportscup/run/)
08:46:06	51144/51144	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c7c8-562a9aedc655e%22	http://html.iwthemes.com/sportscup/run/assets/js/bootstrap.min.js	D:/Template%20Website/sportscup/html.iwthemes.com/sportscup/run/assets/js/bootstrap.min.js	(from http://html.iwthemes.com/sportscup/run/)
08:46:07	8764/8764	---MCZ	200	added ('OK')	application/javascript	etag:W/%22223c-56e8c00044ffb%22	http://html.iwthemes.com/sportscup/run/assets/js/theme-main.js	D:/Template%20Website/sportscup/html.iwthemes.com/sportscup/run/assets/js/theme-main.js	(from http://html.iwthemes.com/sportscup/run/)
08:46:07	167233/167233	---MCZ	200	added ('OK')	application/javascript	etag:W/%2228d41-5651ea02acd03%22	http://html.iwthemes.com/sportscup/run/assets/js/theme-scripts.js	D:/Template%20Website/sportscup/html.iwthemes.com/sportscup/run/assets/js/theme-scripts.js	(from http://html.iwthemes.com/sportscup/run/)
08:46:11	27466/27466	---M-Z	200	added ('OK')	text/css	etag:%221544639719%22	https://maxcdn.bootstrapcdn.com/font-awesome/4.5.0/css/font-awesome.min.css	D:/Template%20Website/sportscup/maxcdn.bootstrapcdn.com/font-awesome/4.5.0/css/font-awesome.min.css	(from http://html.iwthemes.com/sportscup/run/assets/css/main.css)
08:47:20	371/371	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2017%20Nov%202019%2013:47:34%20GMT	http://html.iwthemes.com/sportscup/img/img-theme/ajax-loader.gif	D:/Template%20Website/sportscup/html.iwthemes.com/sportscup/img/img-theme/ajax-loader.62.delayed	(from http://html.iwthemes.com/sportscup/run/assets/css/main.css)
08:47:22	2048/2048	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22800-562a9afe0e578%22	http://html.iwthemes.com/sportscup/run/assets/fonts/slick/slick.eot	D:/Template%20Website/sportscup/html.iwthemes.com/sportscup/run/assets/fonts/slick/slick.eot	(from http://html.iwthemes.com/sportscup/run/assets/css/main.css)
08:47:23	2048/2048	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22800-562a9afe0e578%22	http://html.iwthemes.com/sportscup/run/assets/fonts/slick/slick.eot?	D:/Template%20Website/sportscup/html.iwthemes.com/sportscup/run/assets/fonts/slick/slickd41d.eot	(from http://html.iwthemes.com/sportscup/run/assets/css/main.css)
08:47:23	1380/1380	---M--	200	added ('OK')	font/woff	etag:%22564-562a9afe8e45d%22	http://html.iwthemes.com/sportscup/run/assets/fonts/slick/slick.woff	D:/Template%20Website/sportscup/html.iwthemes.com/sportscup/run/assets/fonts/slick/slick.woff	(from http://html.iwthemes.com/sportscup/run/assets/css/main.css)
